State,Year,Count
Alabama,2008,9
Alaska,2008,6
Arizona,2008,8
Arkansas,2008,0
California,2008,74
Colorado,2008,3
Connecticut,2008,"3,896"
Delaware,2008,772
District of Columbia,2008,74
Florida,2008,88
Georgia,2008,35
Hawaii,2008,0
Idaho,2008,9
Illinois,2008,108
Indiana,2008,42
Iowa,2008,109
Kansas,2008,16
Kentucky,2008,5
Louisiana,2008,3
Maine,2008,908
Maryland,2008,"2,218"
Massachusetts,2008,"4,582"
Michigan,2008,92
Minnesota,2008,"1,282"
Mississippi,2008,1
Missouri,2008,6
Montana,2008,17
Nebraska,2008,12
Nevada,2008,12
New Hampshire,2008,"1,601"
New Jersey,2008,"3,485"
New Mexico,2008,8
New York,2008,"7,794"
North Carolina,2008,47
North Dakota,2008,10
Ohio,2008,45
Oklahoma,2008,2
Oregon,2008,38
Pennsylvania,2008,"3,818"
Rhode Island,2008,210
South Carolina,2008,29
South Dakota,2008,3
Tennessee,2008,31
Texas,2008,153
Utah,2008,5
Vermont,2008,404
Virginia,2008,933
Washington,2008,23
West Virginia,2008,135
Wisconsin,2008,"2,034"
Wyoming,2008,3
U.S. Total,2008,"35,198"
Alabama,2009,3
Alaska,2009,7
Arizona,2009,7
Arkansas,2009,0
California,2009,117
Colorado,2009,1
Connecticut,2009,"4,156"
Delaware,2009,984
District of Columbia,2009,61
Florida,2009,110
Georgia,2009,40
Hawaii,2009,0
Idaho,2009,16
Illinois,2009,136
Indiana,2009,83
Iowa,2009,108
Kansas,2009,18
Kentucky,2009,1
Louisiana,2009,0
Maine,2009,970
Maryland,2009,"2,024"
Massachusetts,2009,"5,256"
Michigan,2009,103
Minnesota,2009,"1,543"
Mississippi,2009,0
Missouri,2009,3
Montana,2009,3
Nebraska,2009,5
Nevada,2009,13
New Hampshire,2009,"1,415"
New Jersey,2009,"4,973"
New Mexico,2009,5
New York,2009,"5,651"
North Carolina,2009,96
North Dakota,2009,15
Ohio,2009,58
Oklahoma,2009,2
Oregon,2009,38
Pennsylvania,2009,"5,722"
Rhode Island,2009,235
South Carolina,2009,42
South Dakota,2009,1
Tennessee,2009,37
Texas,2009,276
Utah,2009,9
Vermont,2009,408
Virginia,2009,908
Washington,2009,16
West Virginia,2009,201
Wisconsin,2009,"2,589"
Wyoming,2009,3
U.S. Total,2009,"38,468"
Alabama,2010,2
Alaska,2010,7
Arizona,2010,2
Arkansas,2010,0
California,2010,129
Colorado,2010,3
Connecticut,2010,"3,068"
Delaware,2010,656
District of Columbia,2010,42
Florida,2010,84
Georgia,2010,10
Hawaii,2010,0
Idaho,2010,9
Illinois,2010,135
Indiana,2010,78
Iowa,2010,85
Kansas,2010,10
Kentucky,2010,5
Louisiana,2010,3
Maine,2010,751
Maryland,2010,"1,617"
Massachusetts,2010,"3,263"
Michigan,2010,95
Minnesota,2010,"1,960"
Mississippi,2010,0
Missouri,2010,4
Montana,2010,4
Nebraska,2010,8
Nevada,2010,2
New Hampshire,2010,"1,339"
New Jersey,2010,"3,712"
New Mexico,2010,5
New York,2010,"3,425"
North Carolina,2010,82
North Dakota,2010,33
Ohio,2010,44
Oklahoma,2010,0
Oregon,2010,39
Pennsylvania,2010,"3,805"
Rhode Island,2010,181
South Carolina,2010,29
South Dakota,2010,1
Tennessee,2010,36
Texas,2010,142
Utah,2010,3
Vermont,2010,356
Virginia,2010,"1,245"
Washington,2010,16
West Virginia,2010,145
Wisconsin,2010,"3,488"
Wyoming,2010,0
U.S. Total,2010,"30,158"
Alabama,2011,24
Alaska,2011,11
Arizona,2011,15
Arkansas,2011,0
California,2011,92
Colorado,2011,0
Connecticut,2011,"3,039"
Delaware,2011,873
District of Columbia,2011,0
Florida,2011,115
Georgia,2011,32
Hawaii,2011,0
Idaho,2011,4
Illinois,2011,194
Indiana,2011,94
Iowa,2011,100
Kansas,2011,17
Kentucky,2011,3
Louisiana,2011,2
Maine,2011,"1,006"
Maryland,2011,"1,351"
Massachusetts,2011,"2,476"
Michigan,2011,104
Minnesota,2011,"2,124"
Mississippi,2011,5
Missouri,2011,8
Montana,2011,11
Nebraska,2011,11
Nevada,2011,5
New Hampshire,2011,"1,299"
New Jersey,2011,"4,262"
New Mexico,2011,6
New York,2011,"4,490"
North Carolina,2011,88
North Dakota,2011,27
Ohio,2011,53
Oklahoma,2011,2
Oregon,2011,38
Pennsylvania,2011,"5,362"
Rhode Island,2011,159
South Carolina,2011,37
South Dakota,2011,4
Tennessee,2011,37
Texas,2011,74
Utah,2011,9
Vermont,2011,623
Virginia,2011,"1,023"
Washington,2011,19
West Virginia,2011,118
Wisconsin,2011,"3,649"
Wyoming,2011,2
U.S. Total,2011,"33,097"
Alabama,2012,25
Alaska,2012,10
Arizona,2012,13
Arkansas,2012,0
California,2012,70
Colorado,2012,0
Connecticut,2012,"2,657"
Delaware,2012,669
District of Columbia,2012,0
Florida,2012,118
Georgia,2012,31
Hawaii,2012,0
Idaho,2012,5
Illinois,2012,204
Indiana,2012,74
Iowa,2012,165
Kansas,2012,19
Kentucky,2012,14
Louisiana,2012,7
Maine,2012,"1,111"
Maryland,2012,"1,651"
Massachusetts,2012,"5,138"
Michigan,2012,98
Minnesota,2012,"1,515"
Mississippi,2012,1
Missouri,2012,2
Montana,2012,6
Nebraska,2012,15
Nevada,2012,10
New Hampshire,2012,"1,450"
New Jersey,2012,"3,576"
New Mexico,2012,1
New York,2012,"2,998"
North Carolina,2012,122
North Dakota,2012,15
Ohio,2012,67
Oklahoma,2012,4
Oregon,2012,48
Pennsylvania,2012,"5,033"
Rhode Island,2012,217
South Carolina,2012,44
South Dakota,2012,4
Tennessee,2012,30
Texas,2012,75
Utah,2012,5
Vermont,2012,522
Virginia,2012,"1,110"
Washington,2012,15
West Virginia,2012,97
Wisconsin,2012,"1,766"
Wyoming,2012,4
U.S. Total,2012,"30,831"
Alabama,2013,24
Alaska,2013,14
Arizona,2013,32
Arkansas,2013,0
California,2013,112
Colorado,2013,0
Connecticut,2013,"2,925"
Delaware,2013,509
District of Columbia,2013,35
Florida,2013,138
Georgia,2013,8
Hawaii,2013,0
Idaho,2013,19
Illinois,2013,337
Indiana,2013,110
Iowa,2013,247
Kansas,2013,34
Kentucky,2013,40
Louisiana,2013,0
Maine,2013,"1,373"
Maryland,2013,"1,197"
Massachusetts,2013,"5,290"
Michigan,2013,168
Minnesota,2013,"2,340"
Mississippi,2013,0
Missouri,2013,3
Montana,2013,18
Nebraska,2013,10
Nevada,2013,16
New Hampshire,2013,"1,687"
New Jersey,2013,"3,766"
New Mexico,2013,6
New York,2013,"4,615"
North Carolina,2013,180
North Dakota,2013,29
Ohio,2013,93
Oklahoma,2013,3
Oregon,2013,43
Pennsylvania,2013,"5,758"
Rhode Island,2013,724
South Carolina,2013,42
South Dakota,2013,4
Tennessee,2013,25
Texas,2013,82
Utah,2013,15
Vermont,2013,893
Virginia,2013,"1,307"
Washington,2013,18
West Virginia,2013,143
Wisconsin,2013,"1,872"
Wyoming,2013,3
U.S. Total,2013,"36,307"
Alabama,2014,64
Alaska,2014,8
Arizona,2014,21
Arkansas,2014,0
California,2014,73
Colorado,2014,0
Connecticut,2014,"2,360"
Delaware,2014,417
District of Columbia,2014,40
Florida,2014,155
Georgia,2014,4
Hawaii,2014,0
Idaho,2014,9
Illinois,2014,233
Indiana,2014,110
Iowa,2014,194
Kansas,2014,20
Kentucky,2014,44
Louisiana,2014,2
Maine,2014,"1,401"
Maryland,2014,"1,373"
Massachusetts,2014,"5,304"
Michigan,2014,127
Minnesota,2014,"1,416"
Mississippi,2014,2
Missouri,2014,10
Montana,2014,7
Nebraska,2014,7
Nevada,2014,6
New Hampshire,2014,724
New Jersey,2014,"3,286"
New Mexico,2014,0
New York,2014,"3,736"
North Carolina,2014,170
North Dakota,2014,14
Ohio,2014,119
Oklahoma,2014,0
Oregon,2014,45
Pennsylvania,2014,"7,487"
Rhode Island,2014,904
South Carolina,2014,37
South Dakota,2014,2
Tennessee,2014,17
Texas,2014,40
Utah,2014,13
Vermont,2014,599
Virginia,2014,"1,346"
Washington,2014,15
West Virginia,2014,136
Wisconsin,2014,"1,361"
Wyoming,2014,3
U.S. Total,2014,"33,461"
Alabama,2015,25
Alaska,2015,9
Arizona,2015,12
Arkansas,2015,0
California,2015,98
Colorado,2015,0
Connecticut,2015,"2,541"
Delaware,2015,435
District of Columbia,2015,121
Florida,2015,166
Georgia,2015,8
Hawaii,2015,0
Idaho,2015,9
Illinois,2015,287
Indiana,2015,138
Iowa,2015,318
Kansas,2015,23
Kentucky,2015,49
Louisiana,2015,3
Maine,2015,"1,201"
Maryland,2015,"1,728"
Massachusetts,2015,"4,224"
Michigan,2015,148
Minnesota,2015,"1,805"
Mississippi,2015,4
Missouri,2015,5
Montana,2015,5
Nebraska,2015,11
Nevada,2015,7
New Hampshire,2015,529
New Jersey,2015,"4,855"
New Mexico,2015,0
New York,2015,"4,314"
North Carolina,2015,230
North Dakota,2015,33
Ohio,2015,154
Oklahoma,2015,0
Oregon,2015,31
Pennsylvania,2015,"9,048"
Rhode Island,2015,904
South Carolina,2015,42
South Dakota,2015,5
Tennessee,2015,26
Texas,2015,54
Utah,2015,7
Vermont,2015,710
Virginia,2015,"1,539"
Washington,2015,24
West Virginia,2015,289
Wisconsin,2015,"1,894"
Wyoming,2015,1
U.S. Total,2015,"38,069"
Alabama,2016,38
Alaska,2016,15
Arizona,2016,13
Arkansas,2016,2
California,2016,134
Colorado,2016,0
Connecticut,2016,"1,748"
Delaware,2016,506
District of Columbia,2016,103
Florida,2016,216
Georgia,2016,4
Hawaii,2016,0
Idaho,2016,17
Illinois,2016,237
Indiana,2016,152
Iowa,2016,232
Kansas,2016,39
Kentucky,2016,33
Louisiana,2016,7
Maine,2016,"1,487"
Maryland,2016,"1,866"
Massachusetts,2016,198
Michigan,2016,221
Minnesota,2016,"2,126"
Mississippi,2016,1
Missouri,2016,10
Montana,2016,17
Nebraska,2016,14
Nevada,2016,15
New Hampshire,2016,891
New Jersey,2016,"4,350"
New Mexico,2016,1
New York,2016,"3,882"
North Carolina,2016,272
North Dakota,2016,32
Ohio,2016,160
Oklahoma,2016,0
Oregon,2016,61
Pennsylvania,2016,"11,443"
Rhode Island,2016,903
South Carolina,2016,51
South Dakota,2016,11
Tennessee,2016,25
Texas,2016,71
Utah,2016,19
Vermont,2016,761
Virginia,2016,"1,350"
Washington,2016,31
West Virginia,2016,368
Wisconsin,2016,"2,295"
Wyoming,2016,1
U.S. Total,2016,"36,429"
Alabama,2017,41
Alaska,2017,10
Arizona,2017,28
Arkansas,2017,6
California,2017,145
Colorado,2017,4
Connecticut,2017,"2,051"
Delaware,2017,608
District of Columbia,2017,84
Florida,2017,210
Georgia,2017,8
Hawaii,2017,0
Idaho,2017,20
Illinois,2017,273
Indiana,2017,142
Iowa,2017,255
Kansas,2017,40
Kentucky,2017,20
Louisiana,2017,12
Maine,2017,"1,850"
Maryland,2017,"1,891"
Massachusetts,2017,410
Michigan,2017,291
Minnesota,2017,"2,318"
Mississippi,2017,1
Missouri,2017,12
Montana,2017,12
Nebraska,2017,14
Nevada,2017,17
